CVE,Librería,Versión,Score,Severidad,Fecha publicación,Fecha detectado,Vector,Confidencialidad,Integridad,Disponibilidad,Fix,Sugerencia,Origen,Enlace
CVE-2022-35411,http,0.6,9.8,CRITICAL,2022-07-08,2026-04-17T11:13:49,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,HIGH,HIGH,No disponible,Revisar documentación oficial del proveedor para mitigaciones.,servicio,https://www.cve.org/CVERecord?id=CVE-2022-35411
CVE-2023-25076,http,0.6,9.8,CRITICAL,2023-03-30,2026-04-17T11:13:49,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,HIGH,HIGH,No disponible,Revisar documentación oficial del proveedor para mitigaciones.,servicio,https://www.cve.org/CVERecord?id=CVE-2023-25076
CVE-2026-30832,http,0.6,9.1,CRITICAL,2026-03-07,2026-04-17T11:13:49,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:L,HIGH,LOW,LOW,No disponible,Revisar documentación oficial del proveedor para mitigaciones.,servicio,https://www.cve.org/CVERecord?id=CVE-2026-30832
CVE-2023-0242,http,0.6,8.8,HIGH,2023-01-18,2026-04-17T11:13:49,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,HIGH,HIGH,HIGH,No disponible,Revisar documentación oficial del proveedor para mitigaciones.,servicio,https://www.cve.org/CVERecord?id=CVE-2023-0242
CVE-2025-31491,http,0.6,8.6,HIGH,2025-04-15,2026-04-17T11:13:49,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:N/A:N,HIGH,NONE,NONE,No disponible,Revisar documentación oficial del proveedor para mitigaciones.,servicio,https://www.cve.org/CVERecord?id=CVE-2025-31491
CVE-2025-65958,http,0.6,8.5,HIGH,2025-12-04,2026-04-17T11:13:49,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:N,HIGH,LOW,NONE,No disponible,Revisar documentación oficial del proveedor para mitigaciones.,servicio,https://www.cve.org/CVERecord?id=CVE-2025-65958
CVE-2024-8642,http,0.6,8.1,HIGH,2024-09-11,2026-04-17T11:13:49,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,HIGH,HIGH,NONE,No disponible,Revisar documentación oficial del proveedor para mitigaciones.,servicio,https://www.cve.org/CVERecord?id=CVE-2024-8642
CVE-2026-21697,http,0.6,8.1,HIGH,2026-01-07,2026-04-17T11:13:49,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,HIGH,HIGH,No disponible,Revisar documentación oficial del proveedor para mitigaciones.,servicio,https://www.cve.org/CVERecord?id=CVE-2026-21697
CVE-2025-53967,http,0.6,8.0,HIGH,2025-10-08,2026-04-17T11:13:49,CVSS:3.1/AV:A/AC:H/PR:N/UI:N/S:C/C:H/I:H/A:N,HIGH,HIGH,NONE,No disponible,Revisar documentación oficial del proveedor para mitigaciones.,servicio,https://www.cve.org/CVERecord?id=CVE-2025-53967
CVE-2020-7659,http,0.6,7.5,HIGH,2020-06-01,2026-04-17T11:13:49,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NONE,HIGH,NONE,No disponible,Revisar documentación oficial del proveedor para mitigaciones.,servicio,https://www.cve.org/CVERecord?id=CVE-2020-7659
CVE-2023-38505,http,0.6,7.5,HIGH,2023-07-27,2026-04-17T11:13:49,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,NONE,NONE,HIGH,No disponible,Revisar documentación oficial del proveedor para mitigaciones.,servicio,https://www.cve.org/CVERecord?id=CVE-2023-38505
CVE-2024-4536,http,0.6,6.8,MEDIUM,2024-05-07,2026-04-17T11:13:49,CVSS:3.1/AV:A/AC:H/PR:H/UI:N/S:C/C:H/I:L/A:L,HIGH,LOW,LOW,No disponible,Revisar documentación oficial del proveedor para mitigaciones.,servicio,https://www.cve.org/CVERecord?id=CVE-2024-4536
CVE-2021-22548,http,0.6,6.5,MEDIUM,2021-06-08,2026-04-17T11:13:49,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:L,HIGH,HIGH,LOW,No disponible,Revisar documentación oficial del proveedor para mitigaciones.,servicio,https://www.cve.org/CVERecord?id=CVE-2021-22548
CVE-2021-22549,http,0.6,6.5,MEDIUM,2021-06-08,2026-04-17T11:13:49,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:L,HIGH,HIGH,LOW,No disponible,Revisar documentación oficial del proveedor para mitigaciones.,servicio,https://www.cve.org/CVERecord?id=CVE-2021-22549
CVE-2021-22550,http,0.6,6.5,MEDIUM,2021-06-08,2026-04-17T11:13:49,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:L,HIGH,HIGH,LOW,No disponible,Revisar documentación oficial del proveedor para mitigaciones.,servicio,https://www.cve.org/CVERecord?id=CVE-2021-22550
CVE-2015-9430,http,0.6,6.1,MEDIUM,2019-09-26,2026-04-17T11:13:49,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,LOW,LOW,NONE,No disponible,Revisar documentación oficial del proveedor para mitigaciones.,servicio,https://www.cve.org/CVERecord?id=CVE-2015-9430
CVE-2015-9453,http,0.6,6.1,MEDIUM,2019-10-07,2026-04-17T11:13:49,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,LOW,LOW,NONE,No disponible,Revisar documentación oficial del proveedor para mitigaciones.,servicio,https://www.cve.org/CVERecord?id=CVE-2015-9453
CVE-2025-64115,http,0.6,6.1,MEDIUM,2025-10-30,2026-04-17T11:13:49,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,LOW,LOW,NONE,No disponible,Revisar documentación oficial del proveedor para mitigaciones.,servicio,https://www.cve.org/CVERecord?id=CVE-2025-64115
CVE-2024-4435,http,0.6,5.9,MEDIUM,2024-05-21,2026-04-17T11:13:49,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,NONE,NONE,HIGH,No disponible,Revisar documentación oficial del proveedor para mitigaciones.,servicio,https://www.cve.org/CVERecord?id=CVE-2024-4435
CVE-2026-25528,http,0.6,5.8,MEDIUM,2026-02-09,2026-04-17T11:13:49,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:L/I:N/A:N,LOW,NONE,NONE,No disponible,Revisar documentación oficial del proveedor para mitigaciones.,servicio,https://www.cve.org/CVERecord?id=CVE-2026-25528
CVE-2026-34981,http,0.6,5.8,MEDIUM,2026-04-06,2026-04-17T11:13:49,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:L/I:N/A:N,LOW,NONE,NONE,No disponible,Revisar documentación oficial del proveedor para mitigaciones.,servicio,https://www.cve.org/CVERecord?id=CVE-2026-34981
CVE-2025-46719,http,0.6,5.4,MEDIUM,2025-05-05,2026-04-17T11:13:49,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,LOW,LOW,NONE,No disponible,Revisar documentación oficial del proveedor para mitigaciones.,servicio,https://www.cve.org/CVERecord?id=CVE-2025-46719
CVE-2021-22552,http,0.6,5.3,MEDIUM,2021-08-02,2026-04-17T11:13:49,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:L/A:N,HIGH,LOW,NONE,No disponible,Revisar documentación oficial del proveedor para mitigaciones.,servicio,https://www.cve.org/CVERecord?id=CVE-2021-22552
CVE-2021-22563,http,0.6,4.5,MEDIUM,2021-11-01,2026-04-17T11:13:49,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:L/I:L/A:L,LOW,LOW,LOW,No disponible,Revisar documentación oficial del proveedor para mitigaciones.,servicio,https://www.cve.org/CVERecord?id=CVE-2021-22563
CVE-2021-22564,http,0.6,4.5,MEDIUM,2021-11-01,2026-04-17T11:13:49,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:L/I:L/A:L,LOW,LOW,LOW,No disponible,Revisar documentación oficial del proveedor para mitigaciones.,servicio,https://www.cve.org/CVERecord?id=CVE-2021-22564
CVE-2020-2282,http,0.6,4.3,MEDIUM,2020-09-23,2026-04-17T11:13:49,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,NONE,LOW,NONE,No disponible,Revisar documentación oficial del proveedor para mitigaciones.,servicio,https://www.cve.org/CVERecord?id=CVE-2020-2282
CVE-2024-6746,http,0.6,4.3,MEDIUM,2024-07-15,2026-04-17T11:13:49,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,LOW,NONE,NONE,No disponible,Revisar documentación oficial del proveedor para mitigaciones.,servicio,https://www.cve.org/CVERecord?id=CVE-2024-6746
